speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hen001,p01_002,m,ax,390.17438843939357,1519.669085099435,L1,null,2.01,2.04,0.03000000000000025
hen001,p01_002,m,ih,364.2651373637862,1455.2732646254715,L1,null,2.22,2.25,0.029999999999999805
hen001,p01_002,m,ax,427.8718758462302,1198.6591894649637,L1,null,2.39,2.42,0.029999999999999805
hen001,p01_002,m,eh,522.9783787350041,1386.083501358049,L1,null,2.67,2.7,0.03000000000000025
hen001,p01_002,m,ax,420.2279727857132,1325.903082357102,L1,null,2.8,2.83,0.03000000000000025
hen001,p01_002,m,sil,367.22219832881376,1655.7398630555458,L1,null,3.04,3.88,0.8399999999999999
hen001,p01_003,m,sil,596.9439624868248,1425.5154729466426,L1,null,0,1.52,1.52
hen001,p01_003,m,uw,304.89251973315436,810.2994099415131,L1,null,1.66,1.69,0.030000000000000027
hen001,p01_003,m,ih,496.41574824666026,1058.5935102786898,L1,null,1.82,1.85,0.030000000000000027
hen001,p01_003,m,eh,553.241196739997,1098.297361227213,L1,null,1.93,1.97,0.040000000000000036
hen001,p01_003,m,uw,307.9893522600404,1138.5644212397353,L1,null,2.21,2.37,0.16000000000000014
hen001,p01_003,m,sil,452.8911657404747,1620.30587311704,L1,null,2.37,3.35,0.98
hen001,p01_004,m,sil,534.7409884915514,1481.488968398408,L1,null,0,0.93,0.93
hen001,p01_004,m,eh,408.16187559792843,1475.1525260849437,L1,null,1.29,1.33,0.040000000000000036
hen001,p01_004,m,ae,510.4733717770772,1594.1163964383422,L1,null,1.56,1.59,0.030000000000000027
hen001,p01_004,m,ay,540.3031372195454,1392.0010274436122,L1,null,1.63,1.74,0.1100000000000001
hen001,p01_004,m,ow,395.86459360262654,909.733432155779,L1,null,1.86,1.99,0.1299999999999999
hen001,p01_004,m,aw,597.4018137958228,1268.1844758543202,L1,null,2.05,2.37,0.3200000000000003
hen001,p01_004,m,sil,452.89392423589356,1669.0710387336646,L1,null,2.37,3.23,0.8599999999999999
hen001,p01_005,m,sil,590.543856461868,1499.0629956412772,L1,null,0,1.0599999,1.0599999
hen001,p01_005,m,iy,345.93128859097703,2051.59801362839,L1,null,1.23,1.3,0.07000000000000006
hen001,p01_005,m,ay,461.3553951285213,1335.4100989818803,L1,null,1.5,1.56,0.06000000000000005
hen001,p01_005,m,iy,422.319266978323,2023.2817779185214,L1,null,1.69,1.75,0.06000000000000005
hen001,p01_005,m,ax,512.0423748879997,1346.4497054517328,L1,null,1.75,1.79,0.040000000000000036
hen001,p01_005,m,eh,577.9930053791337,1314.7207106556107,L1,null,1.9,1.98,0.08000000000000007
hen001,p01_005,m,sil,950.893138796539,1924.6317638155892,L1,null,2.32,3.32,1
hen001,p01_006,m,sil,627.7434163071448,1577.9952964892673,L1,null,0,0.92,0.92
hen001,p01_006,m,uh,377.0719533875305,1166.7911055377613,L1,null,1.02,1.06,0.040000000000000036
hen001,p01_006,m,ax,403.31491574535,1274.2218238414089,L1,null,1.27,1.3,0.030000000000000027
hen001,p01_006,m,ax,528.1133522453752,1074.8160657294695,L1,null,1.4,1.44,0.040000000000000036
hen001,p01_006,m,ax,441.3721850986848,1439.942728912435,L1,null,1.57,1.6,0.030000000000000027
hen001,p01_006,m,sil,650.3204720732449,1761.0884920921515,L1,null,1.74,2.72,0.9800000000000002
hen001,p01_007,m,sil,865.6544545052859,1864.0424540902472,L1,null,0,0.86,0.86
hen001,p01_007,m,ax,488.3936429325961,896.827182870366,L1,null,0.98,1.01,0.030000000000000027
hen001,p01_007,m,ax,460.12469981560633,1454.2946281999057,L1,null,1.07,1.1,0.030000000000000027
hen001,p01_007,m,uw,272.9951989410201,1741.6991179310505,L1,null,1.27,1.3,0.030000000000000027
hen001,p01_007,m,ax,353.04236712831954,1048.930685153308,L1,null,1.36,1.39,0.029999999999999805
hen001,p01_007,m,ax,348.10970647991326,797.0232799117836,L1,null,1.52,1.55,0.030000000000000027
hen001,p01_007,m,ey,407.3927701285526,1844.3310930816053,L1,null,1.68,1.77,0.09000000000000008
hen001,p01_007,m,iy,311.4422591656071,2128.368961435517,L1,null,1.83,2.02,0.18999999999999995
hen001,p01_007,m,sil,455.05701440975594,1664.4028016394382,L1,null,2.02,2.88,0.8599999999999999
hen001,p01_008,m,sil,688.2395263305467,1654.6366000964224,L1,null,0,1.08,1.08
hen001,p01_008,m,aw,630.0376893395306,1028.9447331105885,L1,null,1.19,1.27,0.08000000000000007
hen001,p01_008,m,ae,648.7003895554173,1422.5479837111343,L1,null,1.43,1.54,0.1100000000000001
hen001,p01_008,m,ax,350.37084268232434,1566.527402628523,L1,null,1.73,1.76,0.030000000000000027
hen001,p01_008,m,ey,458.8622073432236,1813.1327674417935,L1,null,1.98,2.04,0.06000000000000005
hen001,p01_008,m,ih,478.1048433368826,1596.621346004933,L1,null,2.1,2.21,0.10999999999999988
hen001,p01_008,m,sil,391.5395298421636,1560.4663704984014,L1,null,2.43,2.93,0.5
hen001,p01_009,m,sil,662.1457375216982,1676.7957014273914,L1,null,0,1.8,1.8
hen001,p01_009,m,uw,227.67705115163525,1714.5385172319843,L1,null,1.91,1.95,0.040000000000000036
hen001,p01_009,m,ih,403.7026834421781,1915.9904593932197,L1,null,1.99,2.04,0.050000000000000044
hen001,p01_009,m,aa,649.1502771356263,1266.1950713283422,L1,null,2.24,2.29,0.04999999999999982
hen001,p01_009,m,ih,387.6773796351071,1227.5613477448792,L1,null,2.37,2.4,0.029999999999999805
hen001,p01_009,m,uw,254.98343402159352,1889.92991488938,L1,null,2.67,2.7,0.03000000000000025
hen001,p01_009,m,ow,404.2123181956849,944.7516067050525,L1,null,2.89,3.01,0.11999999999999966
hen001,p01_009,m,uw,266.3775291660097,955.4131440998568,L1,null,3.16,3.29,0.1299999999999999
hen001,p01_009,m,sil,547.9538278153134,1863.6375833021448,L1,null,3.29,4.09,0.7999999999999998
hen001,p01_010,m,sil,714.35869635508,1727.9157728992263,L1,null,0,1.5,1.5
hen001,p01_010,m,ey,360.03894810614975,1763.572780728095,L1,null,1.58,1.61,0.030000000000000027
hen001,p01_010,m,uh,219.30816115678215,1810.49251326915,L1,null,1.75,1.78,0.030000000000000027
hen001,p01_010,m,ax,522.4515090590841,1458.3332432709242,L1,null,1.84,1.87,0.030000000000000027
hen001,p01_010,m,iy,273.47286649269495,2004.5646418662318,L1,null,2.24,2.29,0.04999999999999982
hen001,p01_010,m,ax,444.18640935211374,846.9304759164728,L1,null,2.41,2.44,0.029999999999999805
hen001,p01_010,m,uh,342.1300793222388,1405.4571132902277,L1,null,2.63,2.67,0.040000000000000036
hen001,p01_010,m,ey,455.6249163438128,1601.6673096454206,L1,null,2.82,3,0.18000000000000016
hen001,p01_010,m,sil,515.0208615087563,1796.3329265450593,L1,null,3,3.65,0.6499999999999999
hen001,p01_011,m,sil,600.8756074430307,1668.227637361114,L1,null,0,1.29,1.29
hen001,p01_011,m,ax,342.0290028831243,904.9245903125777,L1,null,1.32,1.39,0.06999999999999984
hen001,p01_011,m,ih,389.9884661091703,1602.9121313306741,L1,null,1.45,1.49,0.040000000000000036
hen001,p01_011,m,ao,396.93382341211736,1609.9692678464683,L1,null,1.59,1.62,0.030000000000000027
hen001,p01_011,m,ey,406.39980863461494,1586.6659913971903,L1,null,1.68,1.71,0.030000000000000027
hen001,p01_011,m,ih,401.2751497112743,1697.6043518298945,L1,null,1.79,1.84,0.050000000000000044
hen001,p01_011,m,ax,538.702056650127,1086.529922102875,L1,null,2.1,2.14,0.040000000000000036
hen001,p01_011,m,eh,486.75182349677186,1562.0615486773306,L1,null,2.66,2.7,0.040000000000000036
hen001,p01_011,m,ow,322.41513851402084,818.9996004162332,L1,null,2.74,2.95,0.20999999999999996
hen001,p01_011,m,iy,326.2694797380823,2196.851458894381,L1,null,3.15,3.21,0.06000000000000005
hen001,p01_011,m,ao,448.9781322569072,848.5060501043369,L1,null,3.26,3.45,0.1900000000000004
hen001,p01_011,m,ay,436.4189342998062,1436.3056394730022,L1,null,3.61,3.71,0.10000000000000009
hen001,p01_011,m,sil,584.5037218526952,1694.4723304016804,L1,null,3.9,4.25,0.3500000000000001
hen001,p01_012,m,sil,800.7497079289269,1720.3280750364024,L1,null,0,1.0599999,1.0599999
hen001,p01_012,m,ay,633.7982717249107,1330.7765633673264,L1,null,1.06,1.22,0.15999999999999992
hen001,p01_012,m,ow,384.4891015938178,956.3113489530574,L1,null,1.31,1.47,0.15999999999999992
hen001,p01_012,m,ax,414.7629238011945,1433.283761822919,L1,null,1.52,1.55,0.030000000000000027
hen001,p01_012,m,uw,316.9730604953604,1465.4250366040008,L1,null,1.81,1.85,0.040000000000000036
