speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hpg001,p01_006,m,uh,406.18246599651906,1147.4575185207848,L2,IH,1.74,1.79,0.050000000000000044
hpg001,p01_006,m,ax,475.33782644526883,1459.1631340514662,L2,IH,2.17,2.2,0.03000000000000025
hpg001,p01_006,m,ax,474.32134306251123,1204.2025074281014,L2,IH,2.35,2.39,0.040000000000000036
hpg001,p01_006,m,ax,355.6509181959526,1601.6943608134416,L2,IH,2.57,2.63,0.06000000000000005
hpg001,p01_006,m,sil,925.8764117259844,1914.474739462292,L2,IH,3.23,14.98,11.75
hpg001,p01_007,m,sil,1039.0573111078288,2002.7808599684977,L2,IH,0,1.4,1.4
hpg001,p01_007,m,ax,685.6192692660429,1119.2235254821007,L2,IH,1.94,1.97,0.030000000000000027
hpg001,p01_007,m,ax,535.4566640488687,1277.1548025262045,L2,IH,2.03,2.06,0.03000000000000025
hpg001,p01_007,m,uw,343.5015820153678,1422.0597111099955,L2,IH,2.29,2.39,0.10000000000000009
hpg001,p01_007,m,ax,296.514046303175,1896.9063534477086,L2,IH,2.45,2.56,0.10999999999999988
hpg001,p01_007,m,ax,341.7336206267799,1154.5354278027523,L2,IH,2.68,2.71,0.029999999999999805
hpg001,p01_007,m,ey,368.2383881967247,1909.2350204956654,L2,IH,2.81,2.98,0.16999999999999993
hpg001,p01_007,m,iy,278.1676866986099,2095.6622727197846,L2,IH,3.05,3.98,0.9300000000000002
hpg001,p01_007,m,sil,699.5048816430236,1783.8867811452938,L2,IH,4.08,14.9799996,10.8999996
hpg001,p01_008,m,sil,605.1537276890517,1520.944639204524,L2,IH,0,1.89,1.89
hpg001,p01_008,m,aw,591.4413462581066,998.0255922298777,L2,IH,2.01,2.17,0.16000000000000014
hpg001,p01_008,m,ae,616.9595358749205,1694.4637466023921,L2,IH,2.32,2.49,0.17000000000000037
hpg001,p01_008,m,ax,389.03117660299637,1468.4933949877309,L2,IH,2.98,3.02,0.040000000000000036
hpg001,p01_008,m,ey,509.5633514808605,2228.17757390869,L2,IH,3.28,3.4,0.1200000000000001
hpg001,p01_008,m,ih,309.16026605973536,2367.320896845498,L2,IH,3.45,3.65,0.19999999999999973
hpg001,p01_008,m,sil,947.3306347557451,1871.1595480438873,L2,IH,3.89,14.9800002,11.090000199999999
hpg001,p01_009,m,sil,613.9810877824696,1585.910944219627,L2,IH,0,1.9,1.9
hpg001,p01_009,m,uw,306.81117484425533,1824.548730348677,L2,IH,1.98,2.03,0.04999999999999982
hpg001,p01_009,m,ih,422.54244046190973,2128.494228726937,L2,IH,2.18,2.3,0.11999999999999966
hpg001,p01_009,m,aa,859.3276728343412,1211.9725552021553,L2,IH,2.65,2.79,0.14000000000000012
hpg001,p01_009,m,ih,344.69471389625306,2261.2890435646023,L2,IH,2.87,2.93,0.06000000000000005
hpg001,p01_009,m,uw,423.978435242613,1519.2927691878053,L2,IH,3.22,3.32,0.09999999999999965
hpg001,p01_009,m,ow,422.20955702602527,1516.592447518992,L2,IH,3.75,3.8,0.04999999999999982
hpg001,p01_009,m,uw,353.71052650062313,1407.5078823777883,L2,IH,4.1,4.25,0.15000000000000036
hpg001,p01_009,m,sil,854.2778469677344,1837.9671151352786,L2,IH,4.25,14.9799995,10.7299995
hpg001,p01_010,m,sil,688.7758478613843,1725.04747967174,L2,IH,0,2.2,2.2
hpg001,p01_010,m,ey,333.3659829725922,2040.60265839755,L2,IH,2.33,2.52,0.18999999999999995
hpg001,p01_010,m,uh,376.3538976470869,1949.0365809655184,L2,IH,2.69,2.73,0.040000000000000036
hpg001,p01_010,m,ax,443.37556634823613,1553.8850175434286,L2,IH,2.81,2.91,0.10000000000000009
hpg001,p01_010,m,iy,364.265692007893,2126.266979593291,L2,IH,3.58,3.64,0.06000000000000005
hpg001,p01_010,m,ax,412.10492850779815,1344.037204492128,L2,IH,3.79,3.83,0.040000000000000036
hpg001,p01_010,m,uh,334.4223954064736,1756.8726122066187,L2,IH,4.33,4.36,0.03000000000000025
hpg001,p01_010,m,ey,375.7050877879408,2069.8854793540854,L2,IH,4.53,4.96,0.4299999999999997
hpg001,p01_010,m,sil,970.9046633401636,1937.6111052861163,L2,IH,4.96,14.9800005,10.020000499999998
hpg001,p01_011,m,sil,730.6811505160466,1756.1794750910522,L2,IH,0,1.97,1.97
hpg001,p01_011,m,ax,628.4652791124693,1115.3566770920206,L2,IH,2.18,2.21,0.029999999999999805
hpg001,p01_011,m,ih,393.47532033032957,2027.9059465839725,L2,IH,2.27,2.34,0.06999999999999984
hpg001,p01_011,m,ao,447.3656438641914,1748.3440171806565,L2,IH,2.48,2.51,0.029999999999999805
hpg001,p01_011,m,ey,376.25239904357676,2150.024406287507,L2,IH,2.75,2.95,0.20000000000000018
hpg001,p01_011,m,ih,328.780629723957,1966.7084822160077,L2,IH,3.12,3.17,0.04999999999999982
hpg001,p01_011,m,ax,607.1504253020395,1253.1647829181877,L2,IH,3.4,3.44,0.040000000000000036
hpg001,p01_011,m,eh,473.51275021785,1575.4739534921089,L2,IH,4,4.04,0.040000000000000036
hpg001,p01_011,m,ow,466.7629816481963,1077.2484595147603,L2,IH,4.13,4.58,0.4500000000000002
hpg001,p01_011,m,iy,459.4159553662854,2272.8174253037478,L2,IH,4.84,4.94,0.10000000000000053
hpg001,p01_011,m,ao,382.17095655734437,919.8767981631115,L2,IH,5.14,5.32,0.1800000000000006
hpg001,p01_011,m,ay,589.9963417518065,1208.7925529508097,L2,IH,5.56,5.7,0.14000000000000057
hpg001,p01_011,m,sil,829.5191280710908,1834.506611884459,L2,IH,6.03,14.9799998,8.9499998
hpg001,p01_012,m,sil,793.5881524586653,1757.954414030073,L2,IH,0,1.3200001,1.3200001
hpg001,p01_012,m,ay,540.5223759270268,1313.6942835298746,L2,IH,1.32,1.47,0.1499999999999999
hpg001,p01_012,m,ow,480.2790917014025,987.8023285199655,L2,IH,1.58,1.82,0.24
hpg001,p01_012,m,ax,367.8631756541637,1578.4475653576073,L2,IH,1.89,1.92,0.030000000000000027
hpg001,p01_012,m,uw,1298.6081073818834,2710.1897041223383,L2,IH,2.35,2.38,0.029999999999999805
hpg001,p01_012,m,sil,904.0227117148276,1898.8382479561844,L2,IH,2.75,14.9799995,12.2299995
hpg001,p01_013,m,sil,569.0418588631055,1531.1385104256433,L2,IH,0,1.63,1.63
hpg001,p01_013,m,iy,342.9564832988911,2262.2069140543576,L2,IH,1.78,2.15,0.3699999999999999
hpg001,p01_013,m,ih,299.00427436040195,2330.787707764156,L2,IH,2.15,2.29,0.14000000000000012
hpg001,p01_013,m,uw,324.8460329242223,1590.9347150445392,L2,IH,2.61,2.72,0.11000000000000032
hpg001,p01_013,m,ax,378.61033160425296,1529.7572006868259,L2,IH,2.84,2.87,0.03000000000000025
hpg001,p01_013,m,ax,428.87901475457613,1316.378207959453,L2,IH,2.9,2.93,0.03000000000000025
hpg001,p01_013,m,iy,318.01970054282515,1705.633073148482,L2,IH,3,3.04,0.040000000000000036
hpg001,p01_013,m,eh,508.8445654465423,1764.008217716419,L2,IH,3.16,3.26,0.09999999999999965
hpg001,p01_013,m,iy,307.1127500240866,2230.4594088342983,L2,IH,3.34,3.42,0.08000000000000007
hpg001,p01_013,m,ax,561.7457993929713,1017.8438522719304,L2,IH,3.59,3.65,0.06000000000000005
hpg001,p01_013,m,iy,449.7157806229765,1601.8800988519693,L2,IH,3.69,4.1,0.4099999999999997
hpg001,p01_013,m,sil,736.6395570145593,1780.5527169312122,L2,IH,4.17,14.9800004,10.8100004
hpg001,p01_014,m,sil,853.132181382587,1796.4638685185457,L2,IH,0,2.49,2.49
hpg001,p01_014,m,ih,312.37371844672293,2050.147204948106,L2,IH,2.59,2.64,0.050000000000000266
hpg001,p01_014,m,uw,367.7383850205587,1838.1994678605954,L2,IH,2.82,2.93,0.11000000000000032
hpg001,p01_014,m,ih,330.14095482922386,2182.370236926251,L2,IH,3.07,3.14,0.07000000000000028
hpg001,p01_014,m,ax,493.48367272475656,1093.0809533595893,L2,IH,3.53,3.56,0.03000000000000025
hpg001,p01_014,m,ae,650.8480180643601,1435.885954630111,L2,IH,3.76,3.94,0.18000000000000016
hpg001,p01_014,m,sil,988.0175381184022,1966.937946354806,L2,IH,4.06,14.9800001,10.9200001
hpg001,p01_015,m,sil,811.7390884478842,1700.8311938153524,L2,IH,0,1.6,1.6
hpg001,p01_015,m,aa,769.5540348147019,1261.1773275221437,L2,IH,1.6,1.74,0.1399999999999999
hpg001,p01_015,m,uw,407.6627378150529,1397.6573551780696,L2,IH,1.91,1.99,0.08000000000000007
hpg001,p01_015,m,ax,528.5924599252933,993.4757910047417,L2,IH,2.24,2.27,0.029999999999999805
hpg001,p01_015,m,ih,378.6324185201213,2005.3021102586563,L2,IH,2.35,2.49,0.14000000000000012
hpg001,p01_015,m,ax,521.701901968418,1655.3221727485857,L2,IH,2.74,2.83,0.08999999999999986
hpg001,p01_015,m,sil,893.6969890824146,1882.8116755746003,L2,IH,3.4,14.9799999,11.579999899999999
hpg001,p01_016,m,sil,663.9529402365214,1569.2099035624813,L2,IH,0,1.76,1.76
hpg001,p01_016,m,uw,292.76948671684227,1861.4733860815213,L2,IH,1.9,1.93,0.030000000000000027
hpg001,p01_016,m,ey,381.37446648573535,2099.397331216755,L2,IH,2.1,2.32,0.21999999999999975
hpg001,p01_016,m,ih,379.37002471538875,1548.7293193603475,L2,IH,2.43,2.46,0.029999999999999805
hpg001,p01_016,m,ay,596.2718215426221,1308.3970813823917,L2,IH,2.56,2.66,0.10000000000000009
hpg001,p01_016,m,ih,360.1612928886603,2135.5976239038755,L2,IH,2.82,2.91,0.0900000000000003
hpg001,p01_016,m,sil,1000.104713065581,1958.3923424457744,L2,IH,3.65,14.9799999,11.329999899999999
hpg001,p01_017,m,sil,570.2496476239892,1749.6883868596128,L2,IH,0,1.77,1.77
hpg001,p01_017,m,ae,425.9788188560566,1567.5419937339543,L2,IH,1.82,1.87,0.050000000000000044
hpg001,p01_017,m,ao,506.7321555847897,975.43600014971,L2,IH,2.09,2.28,0.18999999999999995
hpg001,p01_017,m,ae,574.9177375897092,1631.4312228677768,L2,IH,2.57,2.65,0.08000000000000007
hpg001,p01_017,m,ao,578.2264218052376,1017.4170846867662,L2,IH,2.87,3.03,0.1599999999999997
hpg001,p01_017,m,sil,961.1603234325904,1915.7385150674572,L2,IH,3.3,14.9800003,11.6800003
hpg001,p01_018_f1_r1,m,sil,694.5693266083126,1680.820512248628,L2,IH,0,2.5999999,2.5999999
hpg001,p01_018_f1_r1,m,ih,317.0435455964645,2030.239748220299,L2,IH,2.68,2.8,0.11999999999999966
hpg001,p01_018_f1_r1,m,ih,299.65031566860574,2185.771096289732,L2,IH,3.22,3.27,0.04999999999999982
hpg001,p01_018_f1_r1,m,ax,399.9910858005572,1116.5042434936781,L2,IH,3.34,3.44,0.10000000000000009
hpg001,p01_018_f1_r1,m,aa,677.6492964421327,1127.6681347398312,L2,IH,3.56,3.67,0.10999999999999988
hpg001,p01_018_f1_r1,m,uw,404.65212029383963,1652.8001353847324,L2,IH,3.93,3.96,0.029999999999999805
hpg001,p01_018_f1_r1,m,eh,542.597055014238,1622.7936922703045,L2,IH,4.07,4.14,0.0699999999999994
hpg001,p01_018_f1_r1,m,iy,299.95377702368575,2068.141310678386,L2,IH,4.19,4.31,0.11999999999999922
hpg001,p01_018_f1_r1,m,uw,343.8650662774732,1084.4196424074028,L2,IH,4.48,4.91,0.4299999999999997
hpg001,p01_018_f1_r1,m,uw,355.8701766671895,832.862542564841,L2,IH,5.4,5.46,0.05999999999999961
hpg001,p01_018_f1_r1,m,ih,351.57867964881393,1356.5358941005766,L2,IH,5.52,5.55,0.03000000000000025
hpg001,p01_018_f1_r1,m,ax,404.86201377099144,1734.959089601681,L2,IH,5.61,5.64,0.02999999999999936
hpg001,p01_018_f1_r1,m,ih,366.0798073362152,2159.410984652016,L2,IH,5.82,5.94,0.1200000000000001
hpg001,p01_018_f1_r1,m,aa,617.0399994356252,1124.5978722729099,L2,IH,6.21,6.26,0.04999999999999982
hpg001,p01_018_f1_r1,m,uw,433.53970478172386,1712.9284339426947,L2,IH,6.41,6.44,0.03000000000000025
hpg001,p01_018_f1_r1,m,eh,565.8453958669963,1483.4433655770374,L2,IH,6.54,6.63,0.08999999999999986
hpg001,p01_018_f1_r1,m,iy,358.5975419551165,2295.3179843118637,L2,IH,6.68,7.97,1.29
hpg001,p01_018_f1_r1,m,sil,964.5979324321913,1947.429300647705,L2,IH,12.03,14.98,2.950000000000001
hpg001,p01_019_f1_r1,m,sil,573.7946427189346,1670.98497778377,L2,IH,0,2.1600001,2.1600001
hpg001,p01_019_f1_r1,m,ay,553.1185072065222,1244.6513050035614,L2,IH,2.16,2.31,0.1499999999999999
hpg001,p01_019_f1_r1,m,eh,552.9492838258592,1671.1673351105276,L2,IH,2.44,2.58,0.14000000000000012
hpg001,p01_019_f1_r1,m,uw,572.0174416576767,1887.4909178422486,L2,IH,2.76,2.79,0.03000000000000025
hpg001,p01_019_f1_r1,m,ax,412.3523412234249,1542.6328291967495,L2,IH,2.83,2.88,0.04999999999999982
hpg001,p01_019_f1_r1,m,aa,556.4552081852421,1183.3569846415853,L2,IH,3.03,3.09,0.06000000000000005
hpg001,p01_019_f1_r1,m,ih,326.68981373731197,1981.2019992014739,L2,IH,3.74,3.78,0.03999999999999959
hpg001,p01_019_f1_r1,m,ay,544.2368147775206,1334.3151321205655,L2,IH,3.96,4.12,0.16000000000000014
hpg001,p01_019_f1_r1,m,eh,523.3301198598444,1845.2653887610097,L2,IH,4.37,4.5,0.1299999999999999
hpg001,p01_019_f1_r1,m,ih,311.132929567489,1966.6883474060799,L2,IH,5.54,5.6,0.05999999999999961
